trial,num_bs,rho,weighted_sum_rate,gap_to_global,runtime_sec,iterations
0,37,1.0,78.61425955146085,17.938677022209845,0.25030774995684624,40
0,37,2.0,91.88697009184737,4.665966481823318,0.3419463327154517,40
0,37,3.0,94.16357356975767,2.3893630039130187,0.4459690419025719,40
0,37,4.0,95.52592886620258,1.0270077074681154,0.5387322078458965,40
0,37,5.0,95.91634617686513,0.6365903968055591,0.6158230826258659,40
1,37,1.0,78.09845358827852,20.163599648098767,0.24723833333700895,40
1,37,2.0,91.06000894833697,7.202044288040312,0.34032266587018967,40
1,37,3.0,96.82956329174192,1.432489944635364,0.4430436659604311,40
1,37,4.0,97.85598193117923,0.40607130519805423,0.5349790840409696,40
1,37,5.0,98.17814081921706,0.0839124171602208,0.602532624732703,40
2,37,1.0,75.7657947149004,17.378674458326145,0.2498866249807179,40
2,37,2.0,85.89647846312485,7.247990710101689,0.34144329093396664,40
2,37,3.0,89.98716524518863,3.157303928037905,0.44472174998372793,40
2,37,4.0,92.45238135199276,0.692087821233784,0.5320709999650717,40
2,37,5.0,92.94630306751773,0.19816610570880755,0.6040913751348853,40
3,37,1.0,74.9533887030073,17.86552658823598,0.2536159581504762,40
3,37,2.0,88.18374821951875,4.635167071724538,0.41939908312633634,40
3,37,3.0,91.35572472549413,1.4631905657491586,0.4481257079169154,40
3,37,4.0,92.26716526141925,0.551750029824035,0.5534611670300364,40
3,37,5.0,92.64182506918546,0.17709022205782787,0.5965139581821859,40
4,37,1.0,76.54679186060004,20.837395593871534,0.24745491705834866,40
4,37,2.0,92.12545816333527,5.258729291136305,0.3409620001912117,40
4,37,3.0,95.59719627582389,1.786991178647682,0.44315291615203023,40
4,37,4.0,96.72698941291242,0.6571980415591554,0.5322397090494633,40
4,37,5.0,97.19371719045448,0.19047026401709388,0.5981407910585403,40
5,37,1.0,76.20297197478678,18.04592499291732,0.25083995796740055,40
5,37,2.0,88.82296296017564,5.425934007528454,0.34168474981561303,40
5,37,3.0,92.33922173582228,1.9096752318818204,0.44544612476602197,40
5,37,4.0,93.54301206000741,0.7058849076966851,0.5400688340887427,40
5,37,5.0,94.07103423067099,0.1778627370331094,0.5982750002294779,40
