trial,num_bs,label,runtime_sec,iterations
0,7,localized-rho1,0.011428707744926214,20
0,7,global,0.017135582864284515,26
1,7,localized-rho1,0.0032197502441704273,5
1,7,global,0.02602495811879635,40
2,7,localized-rho1,0.011481875088065863,20
2,7,global,0.022836291231215,34
0,19,localized-rho1,0.03242291696369648,20
0,19,global,0.11031758273020387,40
1,19,localized-rho1,0.033661249559372663,20
1,19,global,0.11207550019025803,40
2,19,localized-rho1,0.03453787509351969,20
2,19,global,0.11045245919376612,40
0,37,localized-rho1,0.07357079209759831,20
0,37,global,0.3419762905687094,40
1,37,localized-rho1,0.08456945791840553,20
1,37,global,0.43008841713890433,40
2,37,localized-rho1,0.07167029194533825,20
2,37,global,0.3331832499243319,40
